"","year","State","Politician","Politician_Party","Politician_Vote_Share","Opp","Opp_Party","Opp_Vote_Share","Unopposed","Wiki_Missing","Close_Election","Leg_Body"
"268","1976","Texas","Lloyd Bentsen","100",56.8,"Alan Steelman ","200",42.2,0,0,0,1
"269","1978","Texas","John Tower","200",49.8,"Bob Krueger ","100",49.3,0,0,1,1
"270","1982","Texas","Lloyd Bentsen","100",58.6,"
James M. Collins ","200",40.5,0,0,0,1
"271","1984","Texas","Phil Gramm","200",58.5,"
Lloyd Doggett ","100",41.4,0,0,0,1
"272","1988","Texas","Lloyd Bentsen","100",59.2,"
Beau Boulter ","200",40,0,0,0,1
"273","1990","Texas","Phil Gramm","200",60.2,"
Hugh Parmer ","100",37.4,0,0,0,1
"274","1994","Texas","Kay Bailey Hutchison","200",60.8,"
Richard W. Fisher ","100",38.3,0,0,0,1
"275","1996","Texas","Phil Gramm","200",54.8,"
Victor Morales ","100",43.9,0,0,0,1
"276","2002","Texas","John Cornyn","200",55.3,"
Ron Kirk ","100",43.3,0,0,0,1
"277","2006","Texas","Kay Bailey Hutchison","200",61.7,"
Barbara Ann Radnofsky ","100",36,0,0,0,1
"278","2008","Texas","John Cornyn","200",54.8,"
Rick Noriega ","100",42.8,0,0,0,1
"279","2012","Texas","Ted Cruz","200",56.5,"
Paul Sadler ","100",40.7,0,0,0,1
"280","2014","Texas","John Cornyn","200",61.6,"
David Alameel ","100",34.4,0,0,0,1
"281","2018","Texas","Ted Cruz","200",50.9,"
Beto O'Rourke ","100",48.3,0,0,0,1
"282","1934","Tennessee","Nathan L. Bachman","100",80.1,"
John Randolph Neal Jr. ","Independent",19.9,0,0,0,1
"283","1938","Tennessee","Tom Stewart","100",70.5,"Harley G. Fowler ","200",26.2,0,0,0,1
"284","1964","Tennessee","Ross Bass","100",52.1,"Howard H. Baker, Jr. ","200",47.4,0,0,0,1
"285","1918","Tennessee","John K. Shields,","100",62.17,"
Henry Clay Evans, ","200",37.83,0,0,0,1
"286","1922","Tennessee","Kenneth D. McKellar","100",68,"
Newell Sanders ","200",32,0,0,0,1
"287","1924","Tennessee","Lawrence D. Tyson","100",57.3,"
H. B. Lindsay ","200",42.6,0,0,0,1
"288","1928","Tennessee","Kenneth D. McKellar","100",59.3,"
J. A. Fowler ","200",40.7,0,0,0,1
"289","1934","Tennessee","Kenneth D. McKellar","100",63.4,"
Ben W. Hooper ","200",35.8,0,0,0,1
"290","1936","Tennessee","Nathan L. Bachman","100",76.4,"Dwayne D. Maddox ","200",NA,0,0,NA,1
"291","1940","Tennessee","Kenneth D. McKellar","100",70.8,"
Howard H. Baker Sr. ","200",29.2,0,0,0,1
"292","1942","Tennessee","A. Tom Stewart","100",70.5,"F. Todd Meacham ","200",NA,0,0,NA,1
"293","1946","Tennessee","Kenneth D. McKellar","100",66.6,"W. B. Ladd ","200",NA,0,0,NA,1
"294","1948","Tennessee","Estes Kefauver","100",65.3,"B. Carroll Reece ","200",33.5,0,0,0,1
"295","1952","Tennessee","Albert Gore, Sr.","100",74.2,"
Hobart F. Atkins ","200",20.9,0,0,0,1
"296","1954","Tennessee","Estes Kefauver","100",70,"
Tom Wall ","200",30,0,0,0,1
"297","1958","Tennessee","Albert Gore, Sr.","100",79,"
Hobart F. Atkins ","200",19,0,0,0,1
"298","1960","Tennessee","Estes Kefauver","100",71.8,"
A. Bradley Frazier ","200",28.3,0,0,0,1
"299","1964","Tennessee","Albert Gore, Sr.","100",53.6,"Dan H. Kuykendall ","200",46.4,0,0,0,1
"300","1966","Tennessee","Howard Baker","200",55.7,"
Frank G. Clement ","100",44.3,0,0,0,1
"301","1970","Tennessee","Bill Brock","200",51.3,"Al Gore, Sr. ","100",47.4,0,0,0,1
"302","1972","Tennessee","Howard Baker","200",61.6,"Ray Blanton ","100",37.9,0,0,0,1
"303","1976","Tennessee","Jim Sasser","100",52.5,"Bill Brock ","200",47,0,0,0,1
"304","1978","Tennessee","Howard Baker","200",55.5,"Jane Eskind ","100",40.3,0,0,0,1
"305","1982","Tennessee","Jim Sasser","100",61.9,"
Robin Beard ","200",38.1,0,0,0,1
"306","1984","Tennessee","Al Gore","100",60.7,"
Victor Ashe ","200",33.8,0,0,0,1
"307","1988","Tennessee","Jim Sasser","100",65.1,"
Bill Anderson ","200",34.5,0,0,0,1
"308","1990","Tennessee","Al Gore","100",67.7,"
William R. Hawkins ","200",29.8,0,0,0,1
"309","1994","Tennessee","Bill Frist","200",56.4,"
Jim Sasser ","100",42.1,0,0,0,1
"310","1996","Tennessee","Fred Thompson","200",61.4,"
J. Houston Gordon ","100",36.8,0,0,0,1
"311","2000","Tennessee","Bill Frist","200",65.1,"
Jeff Clark ","100",32.2,0,0,0,1
"312","2006","Tennessee","Bob Corker","200",50.7,"
Harold Ford Jr. ","100",48,0,0,0,1
"313","2008","Tennessee","Lamar Alexander","200",65.1,"
Bob Tuke ","100",31.6,0,0,0,1
"314","2012","Tennessee","Bob Corker","200",64.9,"
Mark Clayton ","100",30.4,0,0,0,1
"315","2014","Tennessee","Lamar Alexander","200",61.9,"Gordon Ball ","100",31.8,0,0,0,1
"316","2018","Tennessee","Marsha Blackburn","200",54.7,"Phil Bredesen ","100",43.9,0,0,0,1
"317","1938","South Dakota","Gladys Pyle","200",58.1,"John T. McCullen ","100",41.9,0,0,0,1
"318","1918","South Dakota","Thomas Sterling,","200",55.07,"
W. T. Rinehart, ","100",38.95,0,0,0,1
"319","1920","South Dakota","Peter Norbeck,","200",50.1,"
Tom Ayres, ","Independent",24.1,0,0,0,1
"320","1924","South Dakota","William H. McMaster","200",45.4,"
U. S. G. Cherry ","100",33.1,0,0,0,1
"321","1926","South Dakota","Peter Norbeck,","200",59.5,"C. J. Gunderson ","100",33.3,0,0,0,1
"322","1932","South Dakota","Peter Norbeck","200",53.8,"
U.S.G. Cherry ","100",44.6,0,0,0,1
"323","1936","South Dakota","William J. Bulow","100",48.8,"Chandler Gurney ","200",46.8,0,0,1,1
"324","1938","South Dakota","Chandler Gurney","200",52.5,"Tom Berry ","100",47.5,0,0,0,1
"325","1942","South Dakota","Harlan J. BushfieldTom Berry","200Tom Berry 100",41.3,"",NA,NA,0,0,NA,1
"326","1944","South Dakota","Chandler Gurney","200",63.9,"George M. Bradshaw ","100",36.1,0,0,0,1
"327","1948","South Dakota","Karl E. Mundt","200",59.3,"John A. Engel ","100",40.7,0,0,0,1
"328","1950","South Dakota","Francis Case","200",63.9,"
John A. Engel ","100",36.1,0,0,0,1
"329","1954","South Dakota","Karl E. Mundt","200",57.3,"
Kenneth Holum ","100",42.7,0,0,0,1
"330","1956","South Dakota","Francis Case","200",50.8,"
Kenneth Holum ","100",49.2,0,0,1,1
"331","1960","South Dakota","Karl E. Mundt","200",52.4,"
George S. McGovern ","100",47.6,0,0,0,1
"332","1962","South Dakota","George S. McGovern","100",50.1,"Joseph H. Bottum ","200",49.9,0,0,1,1
"333","1966","South Dakota","Karl Earl Mundt","200",66.3,"
Donn H. Wright ","100",33.7,0,0,0,1
"334","1968","South Dakota","George McGovern","100",56.8,"Archie M. Gubbrud ","200",43.2,0,0,0,1
"335","1972","South Dakota","James Abourezk","100",57,"Robert W. Hirsch ","200",42.9,0,0,0,1
"336","1974","South Dakota","George McGovern","100",53,"Leo K. Thorsness ","200",47,0,0,0,1
"337","1978","South Dakota","Larry Pressler","200",66.8,"Don Barnett ","100",33.2,0,0,0,1
"338","1980","South Dakota","James Abdnor","200",58.2,"George McGovern ","100",39.4,0,0,0,1
"339","1984","South Dakota","Larry Pressler","200",74.5,"
George V. Cunningham ","100",25.5,0,0,0,1
"340","1986","South Dakota","Tom Daschle","100",51.6,"
James Abdnor ","200",48.4,0,0,0,1
"341","1990","South Dakota","Larry Pressler","200",52.4,"
Ted Muenster ","100",45.1,0,0,0,1
"342","1992","South Dakota","Tom Daschle","100",64.9,"
Charlene Haar ","200",32.5,0,0,0,1
"343","1996","South Dakota","Tim Johnson","100",51.3,"
Larry Pressler ","200",48.7,0,0,0,1
"344","1998","South Dakota","Tom Daschle","100",62.1,"
Ron Schmidt ","200",36.4,0,0,0,1
"345","2002","South Dakota","Tim Johnson","100",49.6,"
John Thune ","200",49.5,0,0,1,1
"346","2004","South Dakota","John Thune","200",50.5,"
Tom Daschle ","100",49.4,0,0,1,1
"347","2008","South Dakota","Tim Johnson","100",62.5,"
Joel Dykstra ","200",37.5,0,0,0,1
"348","2010","South Dakota","John Thune","200",NA,NA,NA,NA,1,0,NA,1
"349","2014","South Dakota","Mike Rounds","200",50.4,"
Rick Weiland ","100",29.5,0,0,0,1
"350","2016","South Dakota","John Thune","200",71.8,"
Jay Williams ","100",28.2,0,0,0,1
"351","1918","South Carolina","William P. Pollock","100",NA,NA,NA,NA,1,0,NA,1
"352","1956","South Carolina","Strom Thurmond","100",NA,NA,NA,NA,1,0,NA,1
"353","1966","South Carolina","Ernest Hollings","100",51.4,"
Marshall Parker ","200",48.7,0,0,0,1
"354","2014","South Carolina","Tim Scott","200",61.1,"
Joyce Dickerson ","100",37.1,0,0,0,1
"355","1918","South Carolina","Nathaniel B. Dial","100",NA,NA,NA,NA,1,0,NA,1
"356","1920","South Carolina","Ellison D. Smith, ","100",NA,NA,NA,NA,1,0,NA,1
"357","1924","South Carolina","Coleman L. Blease","100",NA,NA,NA,NA,1,0,NA,1
"358","1926","South Carolina","Ellison D. Smith","100",NA,NA,NA,NA,1,0,NA,1
"359","1932","South Carolina","Ellison D. Smith","100",NA,NA,NA,NA,1,0,NA,1
"360","1936","South Carolina","James F. Byrnes","100",NA,NA,NA,NA,1,0,NA,1
"361","1938","South Carolina","Ellison D. Smith","100",NA,NA,NA,NA,1,0,NA,1
"362","1942","South Carolina","Burnet R. Maybank","100",NA,NA,NA,NA,1,0,NA,1
"363","1944","South Carolina","Olin D. Johnston","100",93,"James B. Gaston ","200",3.7,0,0,0,1
"364","1948","South Carolina","Burnet R. Maybank","100",NA,NA,NA,NA,1,0,NA,1
"365","1950","South Carolina","Olin B. Johnston","100",NA,NA,NA,NA,1,0,NA,1
"366","1954","South Carolina","Strom Thurmond","100",63.1,"
Edgar A. Brown ","100",36.8,0,0,0,1
"367","1956","South Carolina","Olin B. Johnston","100",NA,NA,NA,NA,1,0,NA,1
"368","1960","South Carolina","Strom Thurmond","100",NA,NA,NA,NA,1,0,NA,1
"369","1962","South Carolina","Olin B. Johnston","100",57.2,"W. D. Workman, Jr. ","200",42.8,0,0,0,1
"370","1966","South Carolina","Strom Thurmond","200",62.2,"
Bradley Morrah ","100",37.8,0,0,0,1
"371","1968","South Carolina","Ernest Hollings","100",61.9,"Marshall Parker ","200",38.1,0,0,0,1
"372","1972","South Carolina","Strom Thurmond","200",63.3,"Eugene N. Zeigler ","100",36.7,0,0,0,1
"373","1974","South Carolina","Ernest Hollings","100",69.5,"Gwenyfred Bush ","200",28.6,0,0,0,1
"374","1978","South Carolina","Strom Thurmond","200",55.6,"Charles D. Ravenel ","100",44.4,0,0,0,1
"375","1980","South Carolina","Ernest Hollings","100",70.4,"Marshall T. Mays ","200",29.6,0,0,0,1
"376","1984","South Carolina","Strom Thurmond","200",66.8,"
Melvin Purvis Jr. ","100",31.8,0,0,0,1
"377","1986","South Carolina","Ernest Hollings","100",63.9,"
Henry D. McMaster ","200",36.1,0,0,0,1
"378","1990","South Carolina","Strom Thurmond","200",64.2,"
Bob Cunningham ","100",32.5,0,0,0,1
"379","1992","South Carolina","Ernest Hollings","100",50.1,"
Thomas F. Hartnett ","200",46.9,0,0,0,1
"380","1996","South Carolina","Strom Thurmond","200",53.4,"
Elliot Close ","100",44,0,0,0,1
"381","1998","South Carolina","Ernest Hollings","100",52.7,"
Bob Inglis ","200",45.7,0,0,0,1
"382","2002","South Carolina","Lindsey Graham","200",54.4,"
Alex Sanders ","100",44.2,0,0,0,1
"383","2004","South Carolina","Jim DeMint","200",53.7,"
Inez Tenenbaum ","100",44.1,0,0,0,1
"384","2008","South Carolina","Lindsey Graham","200",57.5,"
Bob Conley ","100",42.3,0,0,0,1
"385","2010","South Carolina","Jim DeMint","200",62.4,"
Alvin Greene ","100",28.2,0,0,0,1
"386","2014","South Carolina","Lindsey Graham","200",54.3,"
Brad Hutto ","100",38.8,0,0,0,1
"387","2016","South Carolina","Tim Scott","200",60.5,"
Thomas Dixon ","100",37,0,0,0,1
"388","1924","Rhode Island","Jesse H. Metcalf","200",56.4,"
William S. Flynn ","100",42.6,0,0,0,1
"389","1950","Rhode Island","John O. Pastore","100",61.6,"
Austin T. Levy ","200",38.4,0,0,0,1
"390","1918","Rhode Island","LeBaron B. Colt,","200",51.76,"
George F. O'Shaunessy, ","100",46.24,0,0,0,1
"391","1922","Rhode Island","Peter G. Gerry","100",52.2,"
R. Livingston Beeckman ","200",43.4,0,0,0,1
"392","1924","Rhode Island","Jesse H. Metcalf","200",57.6,"
William S. Flynn ","100",41.8,0,0,0,1
"393","1928","Rhode Island","Felix Hebert","200",50.6,"
Peter G. Gerry ","100",49.3,0,0,1,1
"394","1934","Rhode Island","Peter G. Gerry","100",57.1,"
Felix Hebert ","200",42.9,0,0,0,1
"395","1936","Rhode Island","Theodore F. Green","100",48.6,"Jesse H. Metcalf ","200",44.4,0,0,0,1
"396","1940","Rhode Island","Peter G. Gerry","100",55.2,"
James O. McManus ","200",44.8,0,0,0,1
"397","1942","Rhode Island","Theodore F. Green","100",58,"Ira Lloyd Letts ","200",42,0,0,0,1
"398","1946","Rhode Island","J. Howard McGrath","100",55.1,"W. Gurnee Dwyer ","200",44.9,0,0,0,1
"399","1948","Rhode Island","Theodore F. Green","100",59.3,"Thomas P. Hazard ","200",40.7,0,0,0,1
"400","1952","Rhode Island","John O. Pastore","100",54.8,"
Bayard Ewing ","200",45.2,0,0,0,1
"401","1954","Rhode Island","Theodore F. Green","100",59.3,"
Walter I. Sundlun ","200",40.7,0,0,0,1
"402","1958","Rhode Island","John O. Pastore","100",64.5,"
Bayard Ewing ","200",35.5,0,0,0,1
"403","1960","Rhode Island","Claiborne Pell","100",68.9,"
Raoul Archambault ","200",31.1,0,0,0,1
"404","1964","Rhode Island","John O. Pastore","100",82.7,"Ronald R. Lagueux ","200",17.27,0,0,0,1
"405","1966","Rhode Island","Claiborne Pell","100",67.7,"
Ruth M. Briggs ","200",32.3,0,0,0,1
"406","1970","Rhode Island","John O. Pastore","100",67.5,"John McLaughlin ","200",31.5,0,0,0,1
"407","1972","Rhode Island","Claiborne Pell","100",53.7,"John Chafee ","200",45.7,0,0,0,1
"408","1976","Rhode Island","John Chafee","200",57.7,"Richard P. Lorber ","100",42,0,0,0,1
"409","1978","Rhode Island","Claiborne Pell","100",75.1,"James G. Reynolds ","200",24.9,0,0,0,1
"410","1982","Rhode Island","John Chafee","200",51.2,"
Julius C. Michaelson ","100",48.8,0,0,0,1
"411","1984","Rhode Island","Claiborne Pell","100",72.6,"
Barbara Leonard ","200",27.4,0,0,0,1
"412","1988","Rhode Island","John Chafee","200",54.3,"
Richard A. Licht ","100",45.7,0,0,0,1
"413","1990","Rhode Island","Claiborne Pell","100",61.8,"
Claudine Schneider ","200",38.2,0,0,0,1
"414","1996","Rhode Island","Jack Reed","100",63.3,"
Nancy J. Mayer ","200",1.7,0,0,0,1
"415","2000","Rhode Island","Lincoln Chafee","200",56.8,"
Robert Weygand ","100",41.1,0,0,0,1
"416","2002","Rhode Island","Jack Reed","100",78.4,"
Robert Tingle ","200",21.6,0,0,0,1
"417","2006","Rhode Island","Sheldon Whitehouse","100",53.5,"
Lincoln Chafee ","200",46.5,0,0,0,1
"418","2008","Rhode Island","Jack Reed","100",73.4,"
Robert Tingle ","200",26.6,0,0,0,1
"419","2012","Rhode Island","Sheldon Whitehouse","100",64.8,"
Barry Hinckley ","200",35,0,0,0,1
"420","2014","Rhode Island","Jack Reed","100",70.6,"
Mark Zaccaria ","200",29.2,0,0,0,1
"421","2018","Rhode Island","Sheldon Whitehouse","100",61.6,"
Robert Flanders ","200",38.4,0,0,0,1
"422","1922","Pennsylvania","David A. Reed","200",86.1,"
Rachel C. Robinson ","Prohibitionist",6,0,0,0,1
"423","1922","Pennsylvania","George W. Pepper","200",57.6,"
Fred B. Kerr ","100",32.9,0,0,0,1
"424","1920","Pennsylvania","Boies Penrose,","200",59.9,"
John A. Farrell, ","100",27.2,0,0,0,1
"425","1922","Pennsylvania","David A. Reed","200",55.6,"
Samuel L. Schull ","100",30.1,0,0,0,1
"426","1926","Pennsylvania","William S. Vare","200",54.6,"William B. Wilson ","100",43.1,0,0,0,1
"427","1928","Pennsylvania","David A. Reed","200",64.4,"
William N. McNair ","100",34,0,0,0,1
"428","1932","Pennsylvania","James J. Davis","200",49.3,"
Lawrence H. Rupp ","100",43.2,0,0,0,1
"429","1934","Pennsylvania","Joseph F. Guffey","100",50.8,"
David A. Reed ","200",46.5,0,0,0,1
"430","1938","Pennsylvania","James J. Davis","200",54.7,"George H. Earle ","100",44.4,0,0,0,1
"431","1940","Pennsylvania","Joseph F. Guffey","100",51.8,"
Jay Cooke ","200",47.4,0,0,0,1
"432","1944","Pennsylvania","Francis J. Myers","100",50,"James J. Davis ","200",49.4,0,0,1,1
"433","1946","Pennsylvania","Edward Martin","200",59.3,"Joseph F. Guffey ","100",39.8,0,0,0,1
"434","1950","Pennsylvania","James H. Duff","200",51.3,"
Francis J. Myers ","100",47.7,0,0,0,1
"435","1952","Pennsylvania","Edward Martin","200",51.6,"
Guy K. Bard ","100",48,0,0,0,1
"436","1956","Pennsylvania","Joseph S. Clark","100",50.1,"
James H. Duff ","200",49.7,0,0,1,1
"437","1958","Pennsylvania","Hugh Scott","200",51.2,"
George M. Leader ","100",48.4,0,0,0,1
"438","1962","Pennsylvania","Joseph S. Clark","100",51.1,"James E. Van Zandt ","200",48.7,0,0,0,1
"439","1964","Pennsylvania","Hugh Scott","200",50.6,"Genevieve Blatt ","100",49.1,0,0,1,1
"440","1968","Pennsylvania","Richard Schweiker","200",51.9,"Joseph S. Clark ","100",45.8,0,0,0,1
"441","1970","Pennsylvania","Hugh Scott","200",51.4,"William G. Sesler ","100",45.4,0,0,0,1
"442","1974","Pennsylvania","Richard Schweiker","200",53,"Peter F. Flaherty ","100",45.9,0,0,0,1
"443","1976","Pennsylvania","John Heinz","200",52.4,"William J. Green III ","100",46.8,0,0,0,1
"444","1980","Pennsylvania","Arlen Specter","200",50.5,"Pete Flaherty ","100",48,0,0,0,1
"445","1982","Pennsylvania","H. John Heinz III","200",59.3,"
Cyril Wecht ","100",39.2,0,0,0,1
"446","1986","Pennsylvania","Arlen Specter","200",56.9,"
Robert W. Edgar ","100",43.1,0,0,0,1
"447","1988","Pennsylvania","H. John Heinz III","200",66.4,"
Joseph C. Vignola ","100",32.4,0,0,0,1
"448","1992","Pennsylvania","Arlen Specter","200",49.1,"
Lynn Yeakel ","100",46.3,0,0,0,1
"449","1994","Pennsylvania","Rick Santorum","200",49.4,"
Harris Wofford ","100",46.9,0,0,0,1
"450","1998","Pennsylvania","Arlen Specter","200",61.3,"
Bill Lloyd ","100",34.8,0,0,0,1
"451","2000","Pennsylvania","Rick Santorum","200",52.4,"
Ron Klink ","100",45.5,0,0,0,1
"452","2004","Pennsylvania","Arlen Specter","200",52.6,"
Joe Hoeffel ","100",1.4,0,0,0,1
"453","2006","Pennsylvania","Bob Casey Jr.","100",58.7,"
Rick Santorum ","200",41.3,0,0,0,1
"454","2010","Pennsylvania","Pat Toomey","200",51.01,"
Joe Sestak ","100",48.99,0,0,0,1
"455","2012","Pennsylvania","Bob Casey, Jr.","100",53.7,"
Tom Smith ","200",44.6,0,0,0,1
"456","2016","Pennsylvania","Pat Toomey","200",48.9,"
Katie McGinty ","100",47.2,0,0,1,1
"457","2018","Pennsylvania","Bob Casey Jr.","100",55.7,"
Lou Barletta ","200",42.6,0,0,0,1
"458","1944","Oregon","Guy Cordon","200",57.5,"Willis Mahoney ","100",42.5,0,0,0,1
"459","1918","Oregon","Frederick W. Mulkey,","200",84.53,"
Martha Bean, ","Socialist",15.47,0,0,0,1
"460","1996","Oregon","Ron Wyden","100",47.8,"
Gordon H. Smith ","200",46.2,0,0,1,1
"461","1960","Oregon","Maurine B. Neuberger","100",55,"
Elmo Smith ","200",45,0,0,0,1
"462","1918","Oregon","Charles L. McNary,","200",54.17,"
Oswald West, ","100",42.3,0,0,0,1
"463","1920","Oregon","Robert N. Stanfield,","200",50.7,"
George E. Chamberlain, ","100",43.5,0,0,0,1
"464","1924","Oregon","Charles L. McNary","200",66,"
Milton A. Miller ","100",24.7,0,0,0,1
"465","1926","Oregon","Frederick Steiwer","200",39.8,"Bert E. Haney ","100",36.3,0,0,0,1
"466","1932","Oregon","Frederick Steiwer","200",52.7,"
Walter B. Gleason ","100",38.9,0,0,0,1
"467","1936","Oregon","Charles L. McNary","200",51,"Willis Mahoney ","100",48.4,0,0,0,1
"468","1938","Oregon","Rufus C. Holman","200",54.9,"Willis Mahoney ","100",45.1,0,0,0,1
"469","1942","Oregon","Charles L. McNary","200",77.1,"Walter W. Whitbeck ","100",22.9,0,0,0,1
"470","1944","Oregon","Wayne Morse","200",60.7,"Edgar W. Smith ","100",39.3,0,0,0,1
"471","1948","Oregon","Guy Cordon","200",60,"Manley J. Wilson ","100",40,0,0,0,1
"472","1950","Oregon","Wayne Morse","200",74.8,"
Howard Latourette ","100",23.2,0,0,0,1
"473","1954","Oregon","Richard L. Neuberger","100",50.2,"
Guy Cordon ","200",49.8,0,0,1,1
"474","1956","Oregon","Wayne Morse","100",54.2,"
Douglas McKay ","200",45.8,0,0,0,1
"475","1960","Oregon","Maurine B. Neuberger","100",54.6,"
Elmo Smith ","200",45.4,0,0,0,1
"476","1962","Oregon","Wayne Morse","100",54.2,"Sig Unander ","200",45.8,0,0,0,1
"477","1966","Oregon","Mark Hatfield","200",51.7,"
Robert B. Duncan ","100",48.2,0,0,0,1
"478","1968","Oregon","Bob Packwood","200",50.2,"Wayne Morse ","100",49.8,0,0,1,1
"479","1972","Oregon","Mark Hatfield","200",53.7,"Wayne Morse ","100",46.2,0,0,0,1
"480","1974","Oregon","Bob Packwood","200",54.9,"Betty Roberts ","100",44.2,0,0,0,1
"481","1978","Oregon","Mark Hatfield","200",61.6,"Vernon Cook ","100",38.3,0,0,0,1
"482","1980","Oregon","Bob Packwood","200",52.1,"Ted Kulongoski ","100",44,0,0,0,1
"483","1984","Oregon","Mark Hatfield","200",66.5,"
Margie Hendriksen ","100",33.4,0,0,0,1
"484","1986","Oregon","Bob Packwood","200",63.5,"
Rick Bauman ","100",36.5,0,0,0,1
"485","1990","Oregon","Mark Hatfield","200",53.9,"
Harry Lonsdale ","100",46.1,0,0,0,1
"486","1992","Oregon","Bob Packwood","200",52.1,"
Les AuCoin ","100",46.5,0,0,0,1
"487","1996","Oregon","Gordon H. Smith","200",49.8,"
Tom Bruggere ","100",45.9,0,0,0,1
"488","2002","Oregon","Gordon Smith","200",56.2,"
Bill Bradbury ","100",39.6,0,0,0,1
"489","2004","Oregon","Ron Wyden","100",63.4,"
Al King ","200",31.8,0,0,0,1
"490","2008","Oregon","Jeff Merkley","100",48.9,"
Gordon Smith ","200",45.6,0,0,0,1
"491","2010","Oregon","Ron Wyden","100",57.2,"
Jim Huffman ","200",39.4,0,0,0,1
"492","2014","Oregon","Jeff Merkley","100",55.7,"
Monica Wehby ","200",36.9,0,0,0,1
"493","2016","Oregon","Ron Wyden","100",56.1,"
Mark Callahan ","200",33.35,0,0,0,1
"494","1964","Oklahoma","Fred R. Harris","100",51.2,"Bud Wilkinson ","200",48.8,0,0,0,1
"495","1994","Oklahoma","James Inhofe","200",55.2,"
Dave McCurdy ","100",4.8,0,0,0,1
"496","2014","Oklahoma","James Lankford","200",67.9,"
Connie Johnson ","100",29,0,0,0,1
"497","1918","Oklahoma","Robert Latham Owen,","100",55.44,"
W. B. Johnson, ","200",40.73,0,0,0,1
"498","1920","Oklahoma","John W. Harreld,","200",50.6,"
Scott Ferris, ","100",44.5,0,0,0,1
"499","1924","Oklahoma","William B. Pine","200",61.6,"
John C. Walton ","100",35.4,0,0,0,1
"500","1926","Oklahoma","Elmer Thomas","100",54.8,"John W. Harreld ","200",44.7,0,0,0,1
"501","1932","Oklahoma","Elmer Thomas","100",65.6,"
Wirt Franklin ","200",33.7,0,0,0,1
"502","1936","Oklahoma","Josh Lee","100",68,"Herbert K. Hyde ","200",31.6,0,0,0,1
"503","1938","Oklahoma","Elmer Thomas","100",65.4,"Harry G. Glasser ","200",33.9,0,0,0,1
"504","1942","Oklahoma","Edward H. Moore","200",54.8,"Josh Lee ","100",44.8,0,0,0,1
"505","1944","Oklahoma","Elmer Thomas","100",55.7,"William J. Otjen ","200",44,0,0,0,1
"506","1948","Oklahoma","Robert S. Kerr","100",62.3,"Ross Rizley ","200",37.4,0,0,0,1
"507","1950","Oklahoma","A. S. Mike Monroney","100",54.8,"
W. H. Bill Alexander ","200",45.2,0,0,0,1
"508","1954","Oklahoma","Robert S. Kerr","100",55.8,"
Fred M. Mock ","200",43.7,0,0,0,1
"509","1956","Oklahoma","Mike Monroney","100",55.4,"
Douglas McKeever ","200",44.7,0,0,0,1
"510","1960","Oklahoma","Robert S. Kerr","100",54.8,"
B. Hayden Crawford ","200",44.6,0,0,0,1
"511","1962","Oklahoma","A. S. Mike Monroney","100",53.2,"B. Hayden Crawford ","200",46.3,0,0,0,1
"512","1966","Oklahoma","Fred R. Harris","100",53.7,"
Pat J. Patterson ","200",46.3,0,0,0,1
"513","1968","Oklahoma","Henry Bellmon","200",51.7,"Mike Monroney ","100",46.2,0,0,0,1
"514","1972","Oklahoma","Dewey F. Bartlett","200",51.4,"Ed Edmondson ","100",47.6,0,0,0,1
"515","1974","Oklahoma","Henry Bellmon","200",49.4,"Ed Edmondson ","100",48.9,0,0,1,1
"516","1978","Oklahoma","David L. Boren","100",65.5,"Robert B. Kamm ","200",32.9,0,0,0,1
"517","1980","Oklahoma","Don Nickles","200",53.5,"Andrew Coats ","100",43.5,0,0,0,1
"518","1984","Oklahoma","David Boren","100",75.6,"
Will E. Crozier ","200",23.4,0,0,0,1
"519","1986","Oklahoma","Don Nickles","200",54.5,"
James R. Jones ","100",45.5,0,0,0,1
"520","1990","Oklahoma","David L. Boren","100",83.2,"
Stephen Jones ","200",17.8,0,0,0,1
"521","1992","Oklahoma","Don Nickles","200",58.5,"
Steve Lewis ","100",38.2,0,0,0,1
"522","1996","Oklahoma","Jim Inhofe","200",56.7,"
James Boren ","100",40.1,0,0,0,1
"523","1998","Oklahoma","Don Nickles","200",66.4,"
Don Carroll ","100",31.3,0,0,0,1
"524","2002","Oklahoma","Jim Inhofe","200",57.3,"
David Walters ","100",36.3,0,0,0,1
"525","2004","Oklahoma","Tom Coburn","200",52.8,"
Brad Carson ","100",41.2,0,0,0,1
"526","2008","Oklahoma","Jim Inhofe","200",56.7,"
Andrew Rice ","100",39.2,0,0,0,1
"527","2010","Oklahoma","Tom Coburn","200",70.5,"
Jim Rogers ","100",26.1,0,0,0,1
"528","2014","Oklahoma","Jim Inhofe","200",68,"
Matt Silverstein ","100",28.6,0,0,0,1
"529","2016","Oklahoma","James Lankford","200",67.7,"
Mike Workman ","100",24.5,0,0,0,1
"530","1928","Ohio","Theodore E. Burton","200",62.4,"
Graham P. Hunt ","100",37.4,0,0,0,1
"531","1946","Ohio","Kingsley A. Taft","200",56.2,"Henry P. Webber ","100",43.8,0,0,0,1
"532","1954","Ohio","George H. Bender","200",50.1,"
Thomas A. Burke ","100",49.9,0,0,1,1
"533","1920","Ohio","Frank B. Willis,","200",59.1,"
William Alexander Julian, ","100",40.8,0,0,0,1
"534","1922","Ohio","Simeon D. Fess","200",50.9,"
Atlee Pomerene ","100",47.7,0,0,0,1
