"","year","State","District","Politician","Politician_Party","Politician_Vote_Share","Opp","Opp_Party","Opp_Vote_Share","Unopposed","Wiki_Missing","Close_Election","Leg_Body"
"12488",1976,"Indiana","6","David W. Evans","100",54.9,"David G. Crane ","200",45.1,0,0,0,2
"12489",1976,"Indiana","7","John T. Myers","200",62.7,"John E. Tipton ","100",37.3,0,0,0,2
"12490",1976,"Indiana","8","David L. Cornwell","100",50.5,"Belden Bell ","200",49.5,0,0,1,2
"12491",1976,"Indiana","9","Lee H. Hamilton","100",NA,NA,NA,NA,1,0,NA,2
"12492",1976,"Indiana","10","Philip R. Sharp","100",59.8,"William G. Frazier ","200",40.2,0,0,0,2
"12493",1976,"Indiana","11","Andrew Jacobs Jr.","100",60.4,"Lawrence L. Buell ","200",39,0,0,0,2
"12494",1978,"Indiana","1","Adam Benjamin Jr.","100",80.3,"Owen W. Crumpacker ","200",19.3,0,0,0,2
"12495",1978,"Indiana","2","Floyd Fithian","100",56.5,"Jay Philip Oppenheim ","200",36.2,0,0,0,2
"12496",1978,"Indiana","3","John Brademas","100",55.5,"Thomas L. Thorson ","200",43.3,0,0,0,2
"12497",1978,"Indiana","4","Dan Quayle","200",64.4,"John D. Walda ","100",33.8,0,0,0,2
"12498",1978,"Indiana","5","Elwood Hillis","200",67.6,"Max Ervin Heiss ","100",32.4,0,0,0,2
"12499",1978,"Indiana","6","David W. Evans","100",52.2,"David G. Crane ","200",47.6,0,0,0,2
"12500",1978,"Indiana","7","John T. Myers","200",56.3,"Charlotte T. Zietlow ","100",43.7,0,0,0,2
"12501",1978,"Indiana","8","H. Joel Deckard","200",52,"David L. Cornwell ","100",48,0,0,0,2
"12502",1978,"Indiana","9","Lee H. Hamilton","100",65.6,"Frank I. Hamilton Jr. ","200",34.4,0,0,0,2
"12503",1978,"Indiana","10","Philip R. Sharp","100",56.1,"William G. Frazier ","200",42.8,0,0,0,2
"12504",1978,"Indiana","11","Andrew Jacobs Jr.","100",57.2,"Charles E. Bosma ","200",42.6,0,0,0,2
"12505",1980,"Indiana","1","Adam Benjamin Jr.","100",72,"Joseph Douglas Harkin ","200",28,0,0,0,2
"12506",1980,"Indiana","2","Floyd Fithian","100",54.1,"Ernest Niemeyer ","200",45.9,0,0,0,2
"12507",1980,"Indiana","3","John P. Hiler","200",55,"John Brademas ","100",45,0,0,0,2
"12508",1980,"Indiana","4","Dan Coats","200",60.5,"John D. Walda ","100",39.1,0,0,0,2
"12509",1980,"Indiana","5","Elwood Hillis","200",61.7,"Nels J. Ackerson ","100",38.3,0,0,0,2
"12510",1980,"Indiana","6","David W. Evans","100",50.2,"David G. Crane ","200",49.8,0,0,1,2
"12511",1980,"Indiana","7","John T. Myers","200",66.1,"Patrick D. Carroll ","100",33.2,0,0,0,2
"12512",1980,"Indiana","8","H. Joel Deckard","200",55.2,"Kenneth C. Snider ","100",44.8,0,0,0,2
"12513",1980,"Indiana","9","Lee H. Hamilton","100",64.4,"George Meyer Jr. ","200",35.6,0,0,0,2
"12514",1980,"Indiana","10","Philip R. Sharp","100",53.4,"William G. Frazier ","200",46.6,0,0,0,2
"12515",1980,"Indiana","11","Andrew Jacobs Jr.","100",57.3,"Sheila Suess ","200",42.7,0,0,0,2
"12516",1982,"Indiana","1","Katie Hall","100",56.3,"
Thomas H. Krieger ","200",43.1,0,0,0,2
"12517",1982,"Indiana","2","Philip R. Sharp","100",56.2,"
Ralph VanNatta ","200",43.8,0,0,0,2
"12518",1982,"Indiana","3","John P. Hiler","200",51.2,"
Richard Clay Bodine ","100",48.8,0,0,0,2
"12519",1982,"Indiana","4","Dan Coats","200",64.3,"
Roger M. Miller ","100",35.1,0,0,0,2
"12520",1982,"Indiana","5","Elwood Hillis","200",61.1,"
Allen B. Maxwell ","100",38.9,0,0,0,2
"12521",1982,"Indiana","6","Dan Burton","200",64.9,"
George G. Grabianowski ","100",35.1,0,0,0,2
"12522",1982,"Indiana","7","John T. Myers","200",62.3,"
Stephen S. Bonney ","100",37.7,0,0,0,2
"12523",1982,"Indiana","8","Frank McCloskey","100",51.4,"
H. Joel Deckard ","200",48.1,0,0,0,2
"12524",1982,"Indiana","9","Lee H. Hamilton","100",67.1,"
Floyd Coates ","200",32.4,0,0,0,2
"12525",1982,"Indiana","10","Andrew Jacobs Jr.","100",66.7,"
Michael A. Carroll ","200",33.2,0,0,0,2
"12526",1986,"Indiana","1","Pete Visclosky","100",73.3,"
William Costas ","200",25.6,0,0,0,2
"12527",1986,"Indiana","2","Philip R. Sharp","100",61.9,"
Donald J. Lynch ","200",37.4,0,0,0,2
"12528",1986,"Indiana","3","John P. Hiler","200",49.8,"
Thomas W. Ward ","100",49.8,0,0,1,2
"12529",1986,"Indiana","4","Dan Coats","200",69.6,"
Gregory Alan Scher ","100",30,0,0,0,2
"12530",1986,"Indiana","5","Jim Jontz","100",51.4,"
James R. Butcher ","200",48.1,0,0,0,2
"12531",1986,"Indiana","6","Dan Burton","200",68.4,"
Thomas F. McKenna ","100",30.9,0,0,0,2
"12532",1986,"Indiana","7","John T. Myers","200",66.8,"
L. Eugene Smith ","100",31.6,0,0,0,2
"12533",1986,"Indiana","8","Frank McCloskey","100",53,"
Richard D. McIntyre ","200",46.5,0,0,0,2
"12534",1986,"Indiana","9","Lee H. Hamilton","100",71.9,"
Robert Walter Kilroy ","200",27.7,0,0,0,2
"12535",1986,"Indiana","10","Andrew Jacobs Jr.","100",57.7,"
Jim Eynon ","200",41.2,0,0,0,2
"12536",1988,"Indiana","1","Pete Visclosky","100",77.1,"Owen W. Crumpacker ","200",22.9,0,0,0,2
"12537",1988,"Indiana","2","Philip R. Sharp","100",53.2,"Mike Pence ","200",46.8,0,0,0,2
"12538",1988,"Indiana","3","John P. Hiler","200",54.3,"Thomas W. Ward ","100",45.7,0,0,0,2
"12539",1988,"Indiana","4","Dan Coats","200",62.1,"Jill Long ","100",37.9,0,0,0,2
"12540",1988,"Indiana","5","Jim Jontz","100",56.3,"Patricia L. Williams ","200",43.7,0,0,0,2
"12541",1988,"Indiana","6","Dan Burton","200",72.9,"George Thomas Holland ","100",27.1,0,0,0,2
"12542",1988,"Indiana","7","John T. Myers","200",61.8,"Mark Richard Waterfill ","100",38.2,0,0,0,2
"12543",1988,"Indiana","8","Frank McCloskey","100",61.8,"John L. Myers ","200",38.2,0,0,0,2
"12544",1988,"Indiana","9","Lee H. Hamilton","100",70.7,"Floyd Eugene Coates ","200",29.3,0,0,0,2
"12545",1988,"Indiana","10","Andrew Jacobs Jr.","100",60.5,"James C. Cummings ","200",39.5,0,0,0,2
"12546",1990,"Indiana","1","Pete Visclosky","100",66,"
William Costas ","200",34,0,0,0,2
"12547",1990,"Indiana","2","Philip Sharp","100",59.4,"
Mike Pence ","200",40.6,0,0,0,2
"12548",1990,"Indiana","3","Timothy J. Roemer","100",50.9,"
John P. Hiler ","200",49.1,0,0,1,2
"12549",1990,"Indiana","4","Jill Long Thompson","100",60.7,"
Richard Walter Hawks ","200",39.3,0,0,0,2
"12550",1990,"Indiana","5","Jim Jontz","100",53.1,"
John Arthur Johnson ","200",46.9,0,0,0,2
"12551",1990,"Indiana","6","Dan Burton","200",63.5,"
James Philip Fadely ","100",36.5,0,0,0,2
"12552",1990,"Indiana","7","John T. Myers","200",57.6,"
John William Riley Sr. ","100",42.4,0,0,0,2
"12553",1990,"Indiana","8","Frank McCloskey","100",54.7,"
Richard Mourdock ","200",45.3,0,0,0,2
"12554",1990,"Indiana","9","Lee H. Hamilton","100",69,"
Floyd Coates ","200",31,0,0,0,2
"12555",1990,"Indiana","10","Andrew Jacobs Jr.","100",66.4,"
Janos Horvath ","200",33.6,0,0,0,2
"12556",1996,"Indiana","1","Pete Visclosky","100",69.16,"Michael Petyo ","200",29.22,0,0,0,2
"12557",1996,"Indiana","2","David McIntosh","200",57.83,"Marc Carmichael ","100",39.98,0,0,0,2
"12558",1996,"Indiana","3","Tim Roemer","100",57.92,"Joe Zakas ","200",40.9,0,0,0,2
"12559",1996,"Indiana","4","Mark Souder","200",58.37,"Gerald Houseman ","100",39.32,0,0,0,2
"12560",1996,"Indiana","5","Steve Buyer","200",61.86,"Douglas Clark ","100",35.71,0,0,0,2
"12561",1996,"Indiana","6","Dan Burton","200",75.02,"Carrie Dillard-Trammell ","100",23.04,0,0,0,2
"12562",1996,"Indiana","7","Edward Pease","200",61.96,"Robert Hellmann ","100",34.65,0,0,0,2
"12563",1996,"Indiana","8","John Hostettler","200",49.97,"Jonathan Weinzapfel ","100",48.3,0,0,1,2
"12564",1996,"Indiana","9","Lee H. Hamilton","100",56.47,"Jean Leising ","200",42.51,0,0,0,2
"12565",1996,"Indiana","10","Julia Carson","100",52.94,"Virginia Murphy Blankenbaker ","200",44.83,0,0,0,2
"12566",1998,"Indiana","1","Pete Visclosky","100",72.5,"Michael Petyo ","200",26.2,0,0,0,2
"12567",1998,"Indiana","2","David McIntosh","200",60.6,"Sherman Boles ","100",1.4,0,0,0,2
"12568",1998,"Indiana","3","Tim Roemer","100",58.1,"Daniel Holtz ","200",41.9,0,0,0,2
"12569",1998,"Indiana","4","Mark Souder","200",63.3,"Mark Wehrle ","100",36.7,0,0,0,2
"12570",1998,"Indiana","5","Steve Buyer","200",62.6,"David Steele III ","100",1.4,0,0,0,2
"12571",1998,"Indiana","7","Edward Pease","200",68.9,"Samuel Hillenburg ","100",28.1,0,0,0,2
"12572",1998,"Indiana","8","John Hostettler","200",52.1,"Gail Riecken ","100",1.9,0,0,0,2
"12573",1998,"Indiana","9","Baron Hill","100",50.8,"Jean Leising ","200",47.9,0,0,0,2
"12574",1998,"Indiana","10","Julia Carson","100",58.3,"Gary Hofmeister ","200",39.4,0,0,0,2
"12575",2000,"Indiana","1","Pete Visclosky","100",71.6,"
Jack Reynolds ","200",1.4,0,0,0,2
"12576",2000,"Indiana","2","Mike Pence","200",50.9,"
Robert Rock ","100",38.8,0,0,0,2
"12577",2000,"Indiana","3","Tim Roemer","100",51.6,"
Chris Chocola ","200",47.4,0,0,0,2
"12578",2000,"Indiana","4","Mark Souder","200",62.3,"
Michael Dewayne Foster ","100",35.4,0,0,0,2
"12579",2000,"Indiana","5","Steve Buyer","200",60.9,"
Greg Goodnight ","100",37.5,0,0,0,2
"12580",2000,"Indiana","6","Dan Burton","200",70.3,"
Darin Patrick Griesey ","100",26.5,0,0,0,2
"12581",2000,"Indiana","7","Brian Kerns","200",64.8,"
Michael Douglas Graf ","100",31.8,0,0,0,2
"12582",2000,"Indiana","8","John Hostettler","200",52.7,"
Paul Perry ","100",45.3,0,0,0,2
"12583",2000,"Indiana","9","Baron Hill","100",54.2,"
Michael Bailey","200",NA,0,0,NA,2
"12584",2000,"Indiana","10","Julia Carson","100",58.5,"
Marvin Scott ","200",39.7,0,0,0,2
"12585",2002,"Indiana","1","Pete Visclosky","100",66.94,"Mark Leyva ","200",31.02,0,0,0,2
"12586",2002,"Indiana","2","Chris Chocola","200",50.45,"Jill Long Thompson ","100",45.77,0,0,0,2
"12587",2002,"Indiana","3","Mark Souder","200",63.14,"Jay Rigdon ","100",34.45,0,0,0,2
"12588",2002,"Indiana","4","Steve Buyer","200",71.36,"Bill Abbott ","100",26.15,0,0,0,2
"12589",2002,"Indiana","5","Dan Burton","200",71.97,"Katherine Fox Carr ","100",25.18,0,0,0,2
"12590",2002,"Indiana","6","Mike Pence","200",63.79,"Mel Fox ","100",34.4,0,0,0,2
"12591",2002,"Indiana","7","Julia Carson","100",53.13,"Brose McVey ","200",44.14,0,0,0,2
"12592",2002,"Indiana","8","John Hostettler","200",51.31,"Bryan Hartke ","100",46.02,0,0,0,2
"12593",2002,"Indiana","9","Baron Hill","100",51.15,"Mike Sodrel ","200",46.13,0,0,0,2
"12594",2004,"Indiana","1","Pete Visclosky","100",68.3,"
Mark Leyva ","200",31.7,0,0,0,2
"12595",2004,"Indiana","2","Chris Chocola","200",54.2,"
Joe Donnelly ","100",44.5,0,0,0,2
"12596",2004,"Indiana","3","Mark Souder","200",69.2,"
Maria Parra ","100",30.8,0,0,0,2
"12597",2004,"Indiana","4","Steve Buyer","200",69.5,"
David Sanders ","100",28.3,0,0,0,2
"12598",2004,"Indiana","5","Dan Burton","200",71.8,"
Katherine Fox Carr ","100",26,0,0,0,2
"12599",2004,"Indiana","6","Mike Pence","200",67.1,"
Mel Fox ","100",31.3,0,0,0,2
"12600",2004,"Indiana","7","Julia Carson","100",54.3,"
Andy Horning ","200",43.7,0,0,0,2
"12601",2004,"Indiana","8","John Hostettler","200",53.4,"
Jon Jennings ","100",44.5,0,0,0,2
"12602",2004,"Indiana","9","Mike Sodrel","200",49.4,"
Baron Hill ","100",49,0,0,1,2
"12603",2006,"Indiana","1","Pete Visclosky","100",69.7,"
Mark Leyva ","200",26.8,0,0,0,2
"12604",2006,"Indiana","2","Joe Donnelly","100",54,"
Chris Chocola ","200",46,0,0,0,2
"12605",2006,"Indiana","3","Mark Souder","200",54.3,"
Tom Hayhurst ","100",45.7,0,0,0,2
"12606",2006,"Indiana","4","Steve Buyer","200",62.4,"
David Sanders ","100",37.6,0,0,0,2
"12607",2006,"Indiana","5","Dan Burton","200",65,"
Katherine Fox Carr ","100",31.4,0,0,0,2
"12608",2006,"Indiana","6","Mike Pence","200",60,"
Barry Welsh ","100",40,0,0,0,2
"12609",2006,"Indiana","7","Julia Carson","100",53.8,"
Eric Dickerson ","200",46.2,0,0,0,2
"12610",2006,"Indiana","8","Brad Ellsworth","100",61,"
John Hostettler ","200",39,0,0,0,2
"12611",2006,"Indiana","9","Baron Hill","100",50,"
Mike Sodrel ","200",45.5,0,0,0,2
"12612",2008,"Indiana","1","Pete Visclosky","100",70.9,"
Mark Leyva ","200",27.2,0,0,0,2
"12613",2008,"Indiana","2","Joe Donnelly","100",67.1,"
Luke Puckett ","200",30.2,0,0,0,2
"12614",2008,"Indiana","3","Mark Souder","200",55,"
Mike Montagano ","100",39.7,0,0,0,2
"12615",2008,"Indiana","4","Steve Buyer","200",59.9,"
Nels Ackerson ","100",40.1,0,0,0,2
"12616",2008,"Indiana","5","Dan Burton","200",65.5,"
Mary Etta Ruley ","100",34.5,0,0,0,2
"12617",2008,"Indiana","6","Mike Pence","200",63.9,"
Barry Welsh ","100",33.4,0,0,0,2
"12618",2008,"Indiana","7","André Carson","100",65.1,"
Gabrielle Campo ","200",34.9,0,0,0,2
"12619",2008,"Indiana","8","Brad Ellsworth","100",64.7,"
Greg Goode ","200",35.3,0,0,0,2
"12620",2008,"Indiana","9","Baron Hill","100",57.8,"
Mike Sodrel ","200",38.4,0,0,0,2
"12621",2012,"Indiana","1","Peter Visclosky","100",67.3,"Joel Phelps ","200",32.7,0,0,0,2
"12622",2012,"Indiana","2","Jackie Walorski","200",49,"Brendan Mullen ","100",47.6,0,0,1,2
"12623",2012,"Indiana","3","Marlin Stutzman","200",67.1,"Kevin Boyd ","100",32.9,0,0,0,2
"12624",2012,"Indiana","5","Susan Brooks","200",58.4,"Scott Reske ","100",37.6,0,0,0,2
"12625",2012,"Indiana","6","Luke Messer","200",59.1,"Brad Bookout ","100",35.1,0,0,0,2
"12626",2012,"Indiana","7","André Carson","100",62.8,"Carlos May ","200",37.2,0,0,0,2
"12627",2012,"Indiana","8","Larry Bucshon","200",53.4,"Dave Crooks ","100",43.1,0,0,0,2
"12628",2018,"Indiana","1","Pete Visclosky","100",65.1,"
Mark Leyva ","200",34.9,0,0,0,2
"12629",2018,"Indiana","2","Jackie Walorski","200",54.8,"
Mel Hall ","100",45.2,0,0,0,2
"12630",2018,"Indiana","3","Jim Banks","200",64.7,"
Courtney Tritch ","100",35.3,0,0,0,2
"12631",2018,"Indiana","4","Jim Baird","200",64.1,"
Tobi Beck ","100",35.9,0,0,0,2
"12632",2018,"Indiana","5","Susan Brooks","200",56.8,"
Dee Thornton ","100",43.2,0,0,0,2
"12633",2018,"Indiana","6","Greg Pence","200",63.8,"
Jeannine Lake ","100",32.9,0,0,0,2
"12634",2018,"Indiana","7","André Carson","100",64.9,"
Wayne ""Gunny"" Harmon ","200",35.1,0,0,0,2
"12635",2018,"Indiana","8","Larry Bucshon","200",64.4,"
William Tanoos ","100",35.6,0,0,0,2
"12636",2018,"Indiana","9","Trey Hollingsworth","200",56.5,"
Liz Watson ","100",43.5,0,0,0,2
"12637",1924,"Illinois seat B",NA,"Richard Yates, Jr.","200",34.5,"Henry R. Rathbone ","200",34.4,0,0,1,2
"12638",1926,"Illinois seat B",NA,"Henry R. Rathbone","200",30.5,"Richard Yates, Jr. ","200",30.5,0,0,1,2
"12639",1932,"Illinois seat B",NA,"Martin A. Brennan","100",26.8,"Walter Nesbit ","100",26.4,0,0,1,2
"12640",1924,"Illinois seat A",NA,"Richard Yates, Jr.","200",34.5,"Henry R. Rathbone ","200",34.4,0,0,1,2
"12641",1926,"Illinois seat A",NA,"Henry R. Rathbone","200",30.5,"Richard Yates, Jr. ","200",30.5,0,0,1,2
"12642",1932,"Illinois seat A",NA,"Martin A. Brennan","100",26.8,"Walter Nesbit ","100",26.4,0,0,1,2
"12643",1920,"Illinois","2","James R. Mann","200",72.9,"James J. Leddy ","100",NA,0,0,NA,2
"12644",1920,"Illinois","3","Elliott W. Sproul","200",67.4,"Thomas M. Crane ","100",28.1,0,0,0,2
"12645",1920,"Illinois","4","John W. Rainey","100",48.9,"John Golombiewski ","200",45.3,0,0,0,2
"12646",1920,"Illinois","5","Adolph J. Sabath","100",45.3,"Jacob Gartenstein ","200",44.3,0,0,1,2
"12647",1920,"Illinois","6","John J. Gorman","200",63.8,"James McAndrews ","100",29.1,0,0,0,2
"12648",1920,"Illinois","7","M. Alfred Michaelson","200",70,"William J. Cullerton ","100",21.6,0,0,0,2
"12649",1920,"Illinois","8","Stanley H. Kunz","100",49.2,"Dan Parrillo ","200",46.6,0,0,0,2
"12650",1920,"Illinois","9","Frederick A. Britten","200",72.5,"Eugene L. McGarry ","100",23.7,0,0,0,2
"12651",1920,"Illinois","10","Carl R. Chindblom","200",74.4,"John Haderlin ","100",22.7,0,0,0,2
"12652",1920,"Illinois","11","Ira C. Copley","200",80.4,"Anton Nemanich, Jr. ","100",17.4,0,0,0,2
"12653",1920,"Illinois","12","Charles Eugene Fuller","200",95.8,"Charles F. Johnson ","Socialist",4.2,0,0,0,2
"12654",1920,"Illinois","13","John C. McKenzie","200",80.5,"J. L. Dickson ","100",18,0,0,0,2
"12655",1920,"Illinois","14","William J. Graham","200",67.1,"Andrew Olson ","100",29.7,0,0,0,2
"12656",1920,"Illinois","15","Edward John King","200",69,"William F. Gilroy ","100",28.7,0,0,0,2
"12657",1920,"Illinois","16","Clifford Ireland","200",67.3,"Jefferson E. Houston ","100",30.1,0,0,0,2
"12658",1920,"Illinois","17","Frank H. Funk","200",70.5,"Frank Gillespie ","100",29.5,0,0,0,2
"12659",1920,"Illinois","18","Joseph G. Cannon","200",64.1,"Armand E. Smith ","100",32.5,0,0,0,2
"12660",1920,"Illinois","19","Allen F. Moore","200",63.7,"E. F. Poorman ","100",35.5,0,0,0,2
"12661",1920,"Illinois","20","Guy L. Shaw","200",53.1,"Henry T. Rainey ","100",46.9,0,0,0,2
"12662",1920,"Illinois","21","Loren E. Wheeler","200",52,"J. Earl Major ","100",34.9,0,0,0,2
"12663",1920,"Illinois","22","William A. Rodenberg","200",54.8,"Guy R. McCasland ","100",29.5,0,0,0,2
"12664",1920,"Illinois","23","Edwin B. Brooks","200",54.4,"A. H. Gravenhorst ","100",42.1,0,0,0,2
"12665",1920,"Illinois","24","Thomas S. Williams","200",60.9,"Asher R. Cox ","100",34.9,0,0,0,2
"12666",1920,"Illinois","25","Edward E. Denison","200",58.2,"J. Herman Clayton ","100",33.7,0,0,0,2
"12667",1920,"Illinois","at-large","Richard Yates, Jr.","200",33.1," ","Seat Av William E. Mason 200",32.8,0,0,1,2
"12668",1922,"Illinois","2","James R. Mann","200",58.2,"
Adam F. Bloch ","100",38.2,0,0,0,2
"12669",1922,"Illinois","3","Elliott W. Sproul","200",48.8,"
Thomas M. Crane ","100",47.7,0,0,1,2
"12670",1922,"Illinois","4","John W. Rainey","100",69.2,"
Henry G. Dobler ","200",28.4,0,0,0,2
"12671",1922,"Illinois","5","Adolph J. Sabath","100",66.5,"
Jacob Gartenstein ","200",29.4,0,0,0,2
"12672",1922,"Illinois","6","James R. Buckley","100",48.2,"
John J. Gorman ","200",48.2,0,0,1,2
"12673",1922,"Illinois","7","M. Alfred Michaelson","200",49.8,"
Frank M. Padden ","100",NA,0,0,NA,2
"12674",1922,"Illinois","8","Stanley H. Kunz","100",65.3,"
Fred S. DeCola ","200",32.4,0,0,0,2
"12675",1922,"Illinois","9","Frederick A. Britten","200",60,"
James A. Prendergast ","100",37.3,0,0,0,2
"12676",1922,"Illinois","10","Carl R. Chindblom","200",61.5,"
Bernard M. Wiedinger ","100",35.1,0,0,0,2
"12677",1922,"Illinois","11","Frank R. Reid","200",68.8,"
Edward J. O'Beirne ","100",29.7,0,0,0,2
"12678",1922,"Illinois","12","Charles Eugene Fuller","200",77.6,"
John A. Dowdall ","100",19.4,0,0,0,2
"12679",1922,"Illinois","13","John C. McKenzie","200",70,"
William G. Curtiss ","100",28.7,0,0,0,2
"12680",1922,"Illinois","14","William J. Graham","200",59.9,"
L. S. Mayer ","100",36.9,0,0,0,2
"12681",1922,"Illinois","15","Edward John King","200",60.1,"
Charles C. Craig ","100",38.3,0,0,0,2
"12682",1922,"Illinois","16","William E. Hull","200",55.2,"
Jesse Black Jr. ","100",42.6,0,0,0,2
"12683",1922,"Illinois","17","Frank H. Funk","200",55.7,"
Frank Gillespie ","100",43.5,0,0,0,2
"12684",1922,"Illinois","18","William P. Holaday","200",52.8,"
Andrew B. Dennis ","100",44.4,0,0,0,2
"12685",1922,"Illinois","19","Allen F. Moore","200",54.3,"
Raymond D. Meeker ","100",44.6,0,0,0,2
"12686",1922,"Illinois","20","Henry T. Rainey","100",54.2,"
Guy L. Shaw ","200",45.8,0,0,0,2
"12687",1922,"Illinois","21","J. Earl Major","100",49.3,"
Loren E. Wheeler ","200",43.3,0,0,0,2
"12688",1922,"Illinois","22","Edward E. Miller","200",47.6,"
Edward E. Campbell ","100",43.9,0,0,0,2
"12689",1922,"Illinois","23","William W. Arnold","100",52.5,"
Edwin B. Brooks ","200",46.7,0,0,0,2
"12690",1922,"Illinois","24","Thomas Sutler Williams","200",50.8,"
Dempsey T. Woodard ","100",49.2,0,0,1,2
"12691",1922,"Illinois","25","Edward E. Denison","200",54.4,"
A. S. Caldwell ","100",41.2,0,0,0,2
"12692",1922,"Illinois","at-large","Richard Yates Jr.","200",27.5,"
Y Henry R. Rathbone ","200",28.4,0,0,1,2
"12693",1924,"Illinois","2","Morton D. Hull","200",74.5,"Frank A. Wright ","100",24.6,0,0,0,2
"12694",1924,"Illinois","3","Elliott W. Sproul","200",67,"Joseph F. Timmis ","100",32.3,0,0,0,2
"12695",1924,"Illinois","4","Thomas A. Doyle","100",56,"Stanley Jankowski ","200",43.3,0,0,0,2
"12696",1924,"Illinois","5","Adolph J. Sabath","100",57.8,"Bernard A. Weaver ","200",41.4,0,0,0,2
"12697",1924,"Illinois","6","John J. Gorman","200",67.8,"James R. Buckley ","100",31.2,0,0,0,2
"12698",1924,"Illinois","7","M. Alfred Michaelson","200",67.7,"Hynek M. Howell ","100",23.4,0,0,0,2
"12699",1924,"Illinois","8","Stanley H. Kunz","100",53.1,"Ernest D. Potts ","200",41.3,0,0,0,2
"12700",1924,"Illinois","9","Frederick A. Britten","200",76.6,"Urban A. Lavery ","100",22.4,0,0,0,2
"12701",1924,"Illinois","10","Carl R. Chindblom","200",80,"John P. Reed ","100",19.3,0,0,0,2
"12702",1924,"Illinois","11","Frank R. Reid","200",84.1,"Charles L. Schwartz ","100",15.3,0,0,0,2
"12703",1924,"Illinois","12","Charles Eugene Fuller","200",84.5,"Marvin C. Parsons ","100",14.9,0,0,0,2
"12704",1924,"Illinois","13","William Richard Johnson","200",77.8,"William G. Curtiss ","100",21.7,0,0,0,2
"12705",1924,"Illinois","14","John Clayton Allen","200",64.7,"William A. Schaeffer ","100",35.3,0,0,0,2
"12706",1924,"Illinois","15","Edward John King","200",69.2,"Henry E. Schmiedeskamp ","100",30,0,0,0,2
"12707",1924,"Illinois","16","William E. Hull","200",55.4,"Charles C. Hatcher ","100",43.9,0,0,0,2
"12708",1924,"Illinois","17","Frank H. Funk","200",60.1,"Frank Gillespie ","100",39.6,0,0,0,2
"12709",1924,"Illinois","18","William P. Holaday","200",64.4,"Andrew B. Dennis ","100",35.3,0,0,0,2
"12710",1924,"Illinois","19","Charles Adkins","200",56.5,"Edward F. Poorman ","100",43.1,0,0,0,2
"12711",1924,"Illinois","20","Henry T. Rainey","100",53,"Guy L. Shaw ","200",47,0,0,0,2
"12712",1924,"Illinois","21","Loren E. Wheeler","200",50,"J. Earl Major ","100",48.7,0,0,1,2
"12713",1924,"Illinois","22","Edward M. Irwin","200",57.7,"Edward E. Campbell ","100",41.5,0,0,0,2
"12714",1924,"Illinois","23","William W. Arnold","100",53.9,"Charles J. Metzger ","200",45.7,0,0,0,2
"12715",1924,"Illinois","24","Thomas S. Williams","200",54.1,"H. Robert Fowler ","100",45.9,0,0,0,2
"12716",1924,"Illinois","25","Edward E. Denison","200",58.1,"Philip N. Lewis ","100",41.5,0,0,0,2
"12717",1926,"Illinois","2","Morton D. Hull","200",65.5,"Michael C. Walsh ","100",34.2,0,0,0,2
"12718",1926,"Illinois","3","Elliott W. Sproul","200",52.7,"Edward J. Glackin ","100",47.1,0,0,0,2
"12719",1926,"Illinois","4","Thomas A. Doyle","100",62.9,"John J. Dever ","200",37.1,0,0,0,2
"12720",1926,"Illinois","5","Adolph J. Sabath","100",58.8,"Matt J. Vogel ","200",41.2,0,0,0,2
"12721",1926,"Illinois","6","James T. Igoe","100",52.6,"John J. Gorman ","200",47.4,0,0,0,2
"12722",1926,"Illinois","7","M. Alfred Michaelson","200",57.8,"John S. Hall ","100",41.8,0,0,0,2
"12723",1926,"Illinois","8","Stanley H. Kunz","100",55.3,"Wencel F. Hetman ","200",44.7,0,0,0,2
"12724",1926,"Illinois","9","Frederick A. Britten","200",97.8,"Raymond W. Moore ","100",1.8,0,0,0,2
"12725",1926,"Illinois","10","Carl R. Chindblom","200",66,"William X. Meyer ","100",34,0,0,0,2
"12726",1926,"Illinois","11","Frank R. Reid","200",69.5,"Edward J. O'Beirne ","100",30.5,0,0,0,2
"12727",1926,"Illinois","12","John T. Buckbee","200",57.8,"John A. L. Warren ","100",42.2,0,0,0,2
"12728",1926,"Illinois","13","William Richard Johnson","200",74.8,"John A. Ascher ","100",25.2,0,0,0,2
"12729",1926,"Illinois","14","John Clayton Allen","200",68,"John W. Casto ","100",32,0,0,0,2
"12730",1926,"Illinois","15","Edward John King","200",62.6,"F. W. Heckencamp, Jr. ","100",37.4,0,0,0,2
"12731",1926,"Illinois","16","William E. Hull","200",63.3,"Carl M. Behrman ","100",36.7,0,0,0,2
"12732",1926,"Illinois","17","Homer W. Hall","200",64.9,"Frank Gillespie ","100",35.1,0,0,0,2
"12733",1926,"Illinois","18","William P. Holaday","200",65.2,"Wilbur H. Hickman ","100",34.8,0,0,0,2
"12734",1926,"Illinois","19","Charles Adkins","200",62.3,"Joel T. Davis ","100",37.7,0,0,0,2
"12735",1926,"Illinois","20","Henry T. Rainey","100",57.8,"Horace H. Bancroft ","200",42.2,0,0,0,2
"12736",1926,"Illinois","21","J. Earl Major","100",52.8,"Loren E. Wheeler ","200",47.2,0,0,0,2
"12737",1926,"Illinois","22","Edward M. Irwin","200",58.5,"William N. Baltz ","100",41.5,0,0,0,2
